term,aliases,relation,expansion
浮力,浮力现象|上浮|下沉,概念,液体或气体对物体向上的托力 与排开流体体积 密度 重力平衡有关 可解释船只 潜水艇 密度计等现象
潜水艇,潜艇|压载水舱|压舱槽,应用,潜水艇通过向压载水舱注水或排水改变平均密度 从而实现上浮 下潜和悬浮
密度计,比重计,应用,密度计根据浮力和液体密度关系工作 在不同密度液体中漂浮高度不同
浮桥,浮式桥|漂浮桥,应用,浮桥依靠浮箱 船体或浮筒提供浮力 支撑桥面和通行荷载
自然光源,太阳|恒星|闪电,概念,自然光源是不依赖人工设备自行发光的物体 例如太阳 恒星 闪电和火焰
人造光源,灯泡|激光|LED,概念,人造光源由人工装置产生光 例如电灯 LED 激光器和探照灯
光速,光的速度,概念,光速是真空中光传播速度 与电磁波 反射 折射和相对论相关
打雷闪电,雷电|闪电|雷声,现象,闪电是云层或云地之间的放电 雷声来自放电加热空气后产生的冲击波
激光束照明,激光|光束,应用,激光具有方向性强 能量集中 单色性好的特点 可用于照明 测距 通信和加工
郑和宝船,宝船|郑和下西洋,历史,郑和宝船与古代造船 航海 技术组织和海上交通相关
